                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.61332,                 0.4406,                0.04176,                0.89998,                0.90393,                0.91267,                0.39313,                0.58397,                0.42768,                0.04889,                 0.0001,                 0.0001,                 0.0001
                    106,                0.61155,                0.43893,                0.04019,                0.89459,                0.90795,                0.91282,                0.39377,                0.58322,                0.42866,                0.04881,                 0.0001,                 0.0001,                 0.0001
                    107,                 0.6053,                0.44456,                 0.0403,                0.90109,                0.89736,                0.91216,                0.39433,                 0.5831,                0.42768,                0.04884,                 0.0001,                 0.0001,                 0.0001
                    108,                0.61243,                0.44461,                  0.042,                0.90894,                0.89498,                0.91347,                0.39348,                0.58329,                0.42732,                 0.0488,                 0.0001,                 0.0001,                 0.0001
                    109,                0.60032,                0.44161,                0.03954,                0.90503,                  0.894,                0.91269,                0.39406,                 0.5831,                0.42737,                0.04878,                 0.0001,                 0.0001,                 0.0001
                    110,                0.61683,                0.44191,                0.04241,                0.90475,                0.89532,                0.91218,                0.39491,                0.58265,                0.42743,                0.04876,                 0.0001,                 0.0001,                 0.0001
                    111,                0.59026,                0.43747,                0.03961,                0.90781,                0.89612,                 0.9123,                0.39405,                0.58237,                0.42723,                0.04875,                 0.0001,                 0.0001,                 0.0001
                    112,                0.62526,                0.44136,                0.04234,                0.90866,                0.89548,                0.91266,                0.39454,                0.58141,                0.42739,                0.04868,                 0.0001,                 0.0001,                 0.0001
                    113,                0.60902,                0.44026,                0.04177,                0.90121,                0.89861,                0.91305,                0.39514,                0.58074,                0.42927,                0.04863,                 0.0001,                 0.0001,                 0.0001
                    114,                0.60354,                0.44289,                0.04159,                0.90321,                0.90091,                0.91441,                0.39569,                0.58004,                0.42811,                0.04857,                 0.0001,                 0.0001,                 0.0001
                    115,                0.60211,                 0.4404,                0.04098,                0.90311,                0.89688,                0.91337,                0.39616,                0.58023,                0.42819,                0.04855,                 0.0001,                 0.0001,                 0.0001
                    116,                0.61114,                 0.4429,                0.04192,                0.90311,                0.89988,                0.91334,                0.39577,                0.57992,                0.42834,                0.04852,                 0.0001,                 0.0001,                 0.0001
                    117,                0.60062,                 0.4437,                0.03951,                0.90412,                0.90113,                0.91478,                0.39562,                0.57996,                 0.4278,                0.04853,                 0.0001,                 0.0001,                 0.0001
                    118,                 0.5839,                0.44084,                0.03986,                0.90268,                0.90456,                0.91645,                 0.3959,                0.57967,                0.42759,                0.04851,                 0.0001,                 0.0001,                 0.0001
                    119,                0.59461,                0.44387,                0.03886,                0.90585,                0.90183,                0.91647,                0.39758,                0.57913,                0.42746,                 0.0487,                 0.0001,                 0.0001,                 0.0001
                    120,                0.59544,                0.44727,                0.04058,                0.90517,                0.90509,                0.91644,                0.39701,                0.57902,                0.42788,                0.04867,                 0.0001,                 0.0001,                 0.0001
                    121,                0.59146,                0.43883,                0.03936,                0.90667,                0.89989,                0.91683,                0.39753,                0.57875,                 0.4271,                0.04864,                 0.0001,                 0.0001,                 0.0001
                    122,                0.59473,                0.43757,                0.03977,                0.90487,                0.90378,                0.91716,                0.39824,                0.57884,                 0.4268,                0.04863,                 0.0001,                 0.0001,                 0.0001
                    123,                0.59434,                0.44056,                0.03918,                0.90639,                0.90002,                 0.9176,                0.39855,                0.57886,                0.42691,                0.04843,                 0.0001,                 0.0001,                 0.0001
                    124,                0.59361,                0.44354,                0.03959,                0.90712,                0.90378,                 0.9184,                0.39912,                0.57855,                0.42654,                0.04862,                 0.0001,                 0.0001,                 0.0001
                    125,                0.60595,                 0.4424,                0.04252,                 0.9071,                0.90248,                0.91829,                0.39872,                 0.5785,                0.42706,                0.04862,                 0.0001,                 0.0001,                 0.0001
                    126,                0.59666,                0.43921,                0.03955,                 0.9088,                0.89922,                0.91775,                0.39844,                0.57827,                0.42964,                0.04864,                 0.0001,                 0.0001,                 0.0001
                    127,                0.58815,                0.43999,                0.04039,                0.90687,                0.90313,                  0.918,                0.39826,                0.57821,                0.43016,                0.04863,                 0.0001,                 0.0001,                 0.0001
                    128,                0.58464,                0.44053,                0.03938,                 0.9057,                0.90607,                0.91861,                0.39845,                0.57829,                0.42961,                0.04863,                 0.0001,                 0.0001,                 0.0001
                    129,                0.59584,                0.44165,                 0.0411,                 0.9025,                0.90567,                0.91777,                0.39824,                0.57831,                0.42931,                0.04865,                 0.0001,                 0.0001,                 0.0001
                    130,                0.60548,                0.43487,                0.03965,                0.90001,                0.90574,                0.91787,                0.39838,                0.57822,                0.42993,                0.04863,                 0.0001,                 0.0001,                 0.0001
                    131,                0.58505,                0.44021,                0.03933,                0.90171,                0.90666,                0.91814,                0.39887,                 0.5783,                0.42926,                0.04865,                 0.0001,                 0.0001,                 0.0001
                    132,                 0.5904,                  0.443,                0.04076,                 0.9018,                0.90752,                0.91907,                0.39912,                 0.5782,                0.42699,                0.04858,                 0.0001,                 0.0001,                 0.0001
