time_s,x_simulink_m,theta_simulink_rad,x_multibody_m,theta_multibody_rad
1.72,0.200903057502801,5.12179299746226,0.201081084497274,5.12176727920462
1.73,0.198181528896717,5.15473294874375,0.198366172506503,5.15470330097997
1.74,0.195340913948479,5.18683075042608,0.195532076371263,5.18679711408975
1.75,0.192397710522739,5.21809639554084,0.19259529266523,5.21805871703507
1.76,0.189367558313692,5.24853974120563,0.18957146036035,5.24849797171468
1.77,0.186265243185857,5.27817055819433,0.186475365130511,5.2781246529059
1.78,0.183104704843403,5.30699857547527,0.183320946995786,5.30694849273265
1.79,0.179899047615938,5.33503351938942,0.180121311089526,5.33497921979142
1.8,0.176660554166498,5.36228514726489,0.176888741350291,5.36222659273036
1.81,0.173400701930539,5.38876327537677,0.173634716944881,5.38870042818969
1.82,0.170130182089279,5.41447780126533,0.170369931224162,5.41441062311497
1.83,0.166858920870718,5.43943872051766,0.167104313003994,5.43936717154752
1.84,0.163596102959768,5.46365613820089,0.16384704995219,5.46358017607859
1.85,0.160350196787154,5.48714027520575,0.160606613851027,5.48705985422471
1.86,0.157128981456544,5.50990146981967,0.157390787494935,5.50981654004171
1.87,0.153939575061721,5.53195017489644,0.154206692975558,5.53186068134311
1.88,0.150788464141253,5.55329695102685,0.151060821102194,5.55320283292524
1.89,0.147681534017423,5.57395245613992,0.147959061704996,5.57385364622723
1.9,0.14462409976921,5.59392743197945,0.144906734571433,5.593823855869
1.91,0.141620937595867,5.61323268790538,0.141908620773247,5.61312426351503
1.92,0.138676316337832,5.63187908246534,0.138968994151302,5.63176571950798
1.93,0.135794028934876,5.64987750316945,0.136091652738859,5.64975910270385
1.94,0.132977423617168,5.66723884488235,0.133279949919488,5.66711529892164
1.95,0.130229434642707,5.68397398722183,0.130536825133537,5.68384517839599
1.96,0.127552612413823,5.70009377132448,0.127864833966182,5.69995957259223
1.97,0.124949152825564,5.71560897630623,0.125266177470194,5.71546925071154
1.98,0.122420925719355,5.73053029571184,0.122742730596925,5.73038489617963
1.99,0.119969502335755,5.74486831421185,0.120296069629456,5.74471708337744
2,0.117596181680089,5.75863348477032,0.117927498531661,5.75847625483697
2.01,0.115302015733828,5.77183610647206,0.115638074146003,5.7716726990912
2.02,0.11308783346255,5.78448630316472,0.113428630190773,5.78431652933348
2.03,0.110954263587933,5.79659400303985,0.111299800024035,5.79641766301097
2.04,0.108901756106315,5.8081689192477,0.109252038156612,5.80798580244699
2.05,0.106930602549887,5.81922053161405,0.107285640509956,5.81903041656117
2.06,0.105040954998458,5.82975806950337,0.105400763426562,5.82956072373204
2.07,0.103232843859957,5.83979049585136,0.103597441450875,5.83958567582533
2.08,0.101506194446531,5.84932649237145,0.101875603907263,5.84911394339333
2.09,0.0998608423801997,5.8583744459241,0.100235090308791,5.85815390203421
2.1,0.0982965478677688,5.86694243602443,0.0986756646362552,5.86671361988727
2.11,0.0968130088890904,5.87503822345284,0.0971970285313496,5.87480084622916
2.12,0.0954098733459392,5.88266923992476,0.0957988334510576,5.88242300112725
2.13,0.0940867502208926,5.88984257876889,0.0944806918324792,5.88958716609979
2.14,0.0928432197967249,5.8965649865588,0.0932421873184952,5.89630007572757
2.15,0.0916788429871014,5.90284285563972,0.0920828840949807,5.90256811015859
2.16,0.0905931698288461,5.90868221749099,0.0910023353898504,5.90839728844576
2.17,0.0895857471848276,5.9140887368653,0.0900000911831036,5.91379326265737
2.18,0.0886561257045248,5.91906770664855,0.0890757051752445,5.91876131270192
2.19,0.0878038660864201,5.9236240433904,0.0882287410588658,5.92330634181354
2.2,0.0870285446819123,5.92776228346909,0.0874587781343266,5.92743287265379
2.21,0.0863297584727734,5.93148657988329,0.0867654163039256,5.9311450440087
2.22,0.0857071294384159,5.93480069973577,0.0861482804654655,5.93444660811698
2.23,0.0851603082903448,5.93770802266684,0.0856070242917762,5.93734092882769
2.24,0.0846889774369365,5.94021154108822,0.0851413332775499,5.93983098130385
2.25,0.0842928526424778,5.94231386516927,0.0847509265488315,5.94191935590866
2.26,0.0839716811269849,5.94401724461119,0.0844355551780359,5.94360827758851
2.27,0.0837252239340033,5.94532367177119,0.0841949839356715,5.94489970484591
2.28,0.0835531149214178,5.94623563637545,0.0840288277783934,5.94579611934377
2.29,0.0834566340048577,5.94674673899525,0.0839394637319548,5.94628764289923
2.3,0.0834380472731398,5.94684519124053,0.0839242405435601,5.94637949687894
2.31,0.0834824031652741,5.94661023671966,0.0839766086866052,5.94612143769963
2.32,0.0836098032414231,5.94593529078949,0.0841100815287953,5.94542953348934
2.33,0.083810470883018,5.94487186034774,0.0843171318933603,5.94434786465784
2.34,0.0840854741542031,5.94341384422484,0.0845986272497082,5.94287096489965
2.35,0.084435093847258,5.94155913968454,0.0849548356359122,5.94099674818519
2.36,0.0848595513621537,5.93930578066247,0.0853859776219103,5.93872323188668
2.37,0.0853590830754371,5.93665153562532,0.0858922901939503,5.93604816466879
2.38,0.0859339542399448,5.93359382381408,0.0864740392269769,5.93296894588919
2.39,0.0865844611263797,5.93012969179028,0.0871315213397305,5.9294826024557
2.4,0.0873109296879424,5.92625580633676,0.0878650624744348,5.92558578168382
2.41,0.0881137127442529,5.92196845304153,0.0886750150350845,5.92127474982564
2.42,0.0889931862725801,5.91726353733911,0.0895617541380614,5.91654539308749
2.43,0.0899497449951794,5.91213658688625,0.0905256731559169,5.91139322001016
2.44,0.0909837973169536,5.90658275484917,0.0915671786067227,5.90581336478197
2.45,0.0920957596153316,5.90059682394516,0.0926866843905706,5.89980059132187
2.46,0.0932860498610905,5.8941732111929,0.0938846053519854,5.89334929808331
2.47,0.0945550805372433,5.88730597337683,0.0951613501354647,5.88645352358191
2.48,0.0959032508165974,5.87998881325609,0.0965173132948478,5.87910695267598
2.49,0.0973309379546301,5.87221508656149,0.0979528666132585,5.87130292364206
2.5,0.0988384878518601,5.86397780983003,0.0994683495879231,5.86303443609434
2.51,0.100426204738502,5.85526966912912,0.101064059032811,5.85429415979928
2.52,0.1020943399337,5.84608302972245,0.102740237751608,5.84507444443641
2.53,0.103843079632044,5.83640994672677,0.104497062234027,5.83536733035405
2.54,0.10567253167141,5.82624217680458,0.106334629329853,5.82516456036366
2.55,0.107582711238492,5.81557119093089,0.108252941857591,5.81445759260997
2.56,0.109573525471858,5.80438818826366,0.11025189310811,5.80323761454528
2.57,0.11164475692698,5.79268411113632,0.112331250208461,5.79149555802467
2.58,0.113796045873655,5.7804496611778,0.114490636317104,5.77922211552597
2.59,0.116026871403557,5.76767531654913,0.116729511629257,5.76640775748149
2.6,0.118336531334459,5.75435135026778,0.119047153180019,5.7530427506907
2.61,0.120724120908022,5.74046784956957,0.121442633443387,5.73911717776104
2.62,0.123188510289889,5.72601473623439,0.123914797737288,5.72462095750098
2.63,0.125728320894257,5.7109817877763,0.126462240458278,5.70954386616257
2.64,0.128341900570014,5.69535865936954,0.129083280184594,5.69387555940285
2.65,0.131027297701776,5.6791349063524,0.131775933702545,5.67760559480255
