TIME,CH1,CH2,,Model,TBS1052C
-2.46E-01,2.98,3.36,,,
-2.46E-01,2.98,3.28,,,
-2.45E-01,2.98,3.28,,,
-2.44E-01,3,3.28,,,
-2.43E-01,3,3.28,,,
-2.42E-01,2.98,3.28,,,
-2.42E-01,3,3.28,,,
-2.41E-01,3,3.28,,,
-2.40E-01,3,3.28,,,
-2.39E-01,3,3.28,,,
-2.38E-01,3,3.28,,,
-2.38E-01,3,3.28,,,
-2.37E-01,3,3.28,,,
-2.36E-01,3,3.28,,,
-2.35E-01,3,3.28,,,
-2.34E-01,2.98,3.36,,,
-2.34E-01,3.02,3.28,,,
-2.33E-01,3,3.28,,,
-2.32E-01,3,3.28,,,
-2.31E-01,3,3.28,,,
-2.30E-01,3,3.28,,,
-2.30E-01,3.02,3.36,,,
-2.29E-01,3,3.28,,,
-2.28E-01,3,3.28,,,
-2.27E-01,3.02,3.28,,,
-2.26E-01,3.02,3.28,,,
-2.26E-01,3.02,3.28,,,
-2.25E-01,3.02,3.28,,,
-2.24E-01,3.02,3.28,,,
-2.23E-01,3.02,3.28,,,
-2.22E-01,3.02,3.28,,,
-2.22E-01,3.02,3.28,,,
-2.21E-01,3,3.28,,,
-2.20E-01,3.02,3.28,,,
-2.19E-01,3.02,3.28,,,
-2.18E-01,3.02,3.28,,,
-2.18E-01,3.02,3.28,,,
-2.17E-01,3.02,3.28,,,
-2.16E-01,3.04,3.28,,,
-2.15E-01,3,3.28,,,
-2.14E-01,3.02,3.28,,,
-2.14E-01,3.04,3.28,,,
-2.13E-01,3.04,3.28,,,
-2.12E-01,3.02,3.28,,,
-2.11E-01,3.02,3.28,,,
-2.10E-01,3.02,3.28,,,
-2.10E-01,3.02,3.36,,,
-2.09E-01,3.02,3.28,,,
-2.08E-01,3.02,3.28,,,
-2.07E-01,3.02,3.28,,,
-2.06E-01,3.02,3.28,,,
-2.06E-01,3.04,3.28,,,
-2.05E-01,3.02,3.28,,,
-2.04E-01,3.04,3.28,,,
-2.03E-01,3.04,3.28,,,
-2.02E-01,3.02,3.28,,,
-2.02E-01,3.04,3.28,,,
-2.01E-01,3.02,3.28,,,
-2.00E-01,3.04,3.28,,,
-1.99E-01,3.04,3.28,,,
-1.98E-01,3.04,3.28,,,
-1.98E-01,3.04,3.28,,,
-1.97E-01,3.04,3.28,,,
-1.96E-01,3.04,3.28,,,
-1.95E-01,3.04,3.28,,,
-1.94E-01,3.04,3.28,,,
-1.94E-01,3.04,3.28,,,
-1.93E-01,3.04,3.28,,,
-1.92E-01,3.04,3.28,,,
-1.91E-01,3.06,3.28,,,
-1.90E-01,3.04,3.28,,,
-1.90E-01,3.04,3.28,,,
-1.89E-01,3.06,3.28,,,
-1.88E-01,3.04,3.28,,,
-1.87E-01,3.06,3.28,,,
-1.86E-01,3.06,3.28,,,
-1.86E-01,3.04,3.28,,,
-1.85E-01,3.06,3.28,,,
-1.84E-01,3.04,3.28,,,
-1.83E-01,3.06,3.28,,,
-1.82E-01,3.06,3.28,,,
-1.82E-01,3.08,3.28,,,
-1.81E-01,3.06,3.28,,,
-1.80E-01,3.06,3.28,,,
-1.79E-01,3.06,3.28,,,
-1.78E-01,3.06,3.28,,,
-1.78E-01,3.06,3.28,,,
-1.77E-01,3.06,3.28,,,
-1.76E-01,3.06,3.28,,,
-1.75E-01,3.06,3.28,,,
-1.74E-01,3.06,3.28,,,
-1.74E-01,3.08,3.28,,,
-1.73E-01,3.06,3.28,,,
-1.72E-01,3.08,3.28,,,
-1.71E-01,3.06,3.28,,,
-1.70E-01,3.08,3.28,,,
-1.70E-01,3.06,3.28,,,
-1.69E-01,3.08,3.28,,,
-1.68E-01,3.08,3.28,,,
-1.67E-01,3.08,3.28,,,
-1.66E-01,3.08,3.28,,,
